Distillery;Location;Region;Foundation Year;Owner;Closing Year;Is Closed;Is Demolished;Type of Whisky;URL;Coordinates;Founded;Status;Water source;No. of stills;Capacity;Website;Mothballed;Age(s);Cask type(s);Founder;ABV;Type;Architect;Opened;Annual production volume;Owned by;Characteristics;Company type;Industry;Latitude;Longitude;Image
Aberargie;;Lowland;2017;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Aberargie_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Aberfeldy;;Highland;1896;John Dewar & Sons(Bacardi);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Aberfeldy_distillery;;1896;Operational;Pitilie Burn;2 wash stills2 spirit stills [1];3,500,000 litres;;;18 Years;American White Oak, Ex-Bourbon Casks (Main);;43%;Single malt;;;;;;;;56.626944;-3.847222;/wiki/File:Aberfeldy_Distillery.jpg
Aberlour;Aberlour;Speyside;1879;Chivas Brothers(Pernod Ricard)[1];;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Aberlour_distillery;;1879;Active;Birkenbush, Target spring;2 Wash stills: each 21,310 L[2]2 Spirit stills: 20,000 L and 15,456 L[2];3.900,000 L;www.aberlour.com;;;;James Fleming;;;;;;;;;;57.474444;-3.220278;/wiki/File:Aberlour_Distillery_-_panoramio.jpg
Abhainn Dearg;Uig, Isle of Lewis;Island;2008;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Abhainn_Dearg_distillery;;2008 [1];;;;;;;newmake spirit, 3 years;American White Oak, Ex-Bourbon Casks (Main) Ex Sherry Casks;;46%, 56%, 58%;Single malt, Scotch;;;;;;;;58.169444;-7.033889;/wiki/File:Abhainn_Dearg_Distillery_-_panoramio.jpg
Ailsa Bay;South Ayrshire;Lowland;2009;William Grant & Sons;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ailsa_Bay_distillery;;2009;;Penwapple reservoir;8 wash stills8 spirit stills;12,000,000 liters;Ailsa Bay distillery;;;;;;;;;;;;;;55.2609;-4.835;
Allt-A-Bhainne;;Speyside;1975;Chivas Brothers(Pernod Ricard);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Allt-A-Bhainne_distillery;;1975;Active;Springs on Benrinnes;2 wash stills2 spirit stills;4,000,000 litres;;;;;;;;;;;;;;;57.389722;-3.203333;/wiki/File:Allt-a-Bhainne_Distillery.jpg
Annandale;Annandale, Dumfries and Galloway;Lowland;1836;Annandale Distillery Company;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Annandale_distillery;;1836;Active;Bore Hole on site;1 wash still2 spirit stills;260,000 L;https://www.annandaledistillery.com/;;;;;;;;;;;;;;55.001681;-3.255708;/wiki/File:Annandale_Distillery,_Annan,_Dumfries_%26_Galloway._View_from_the_main_road.jpg
Arbikie;Inverkeilor;Highland;2013;Stirling family;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Arbikie_distillery;;2013;;;1 wash stills1 spirit stills;200,000 L;arbikie.com;;;;;;;;;;;;;;56.665607;-2.527366;
Ardbeg;;Islay;1815;LVMH;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ardbeg_distillery;;1815;Operational;Loch Uigeadail;1 wash (18,000 L)1 spirit (17,000 L)[1];1,250,000 litres;;;10 Years;Bourbon, Sherry;;;Single Malt Scotch Whisky;;;;;;;;55.643889;-6.101667;/wiki/File:Ardbeg_Distillery,_Islay_-_geograph.org.uk_-_4150964.jpg
Ardgowan;Inverkip, Scotland, UK;Lowland;1896;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ardgowan_distillery;;1896 (original distillery)2016 (modern distillery);Active;;;;;;;;;;;;;;;;;;;;/wiki/File:Baker_Street_-_geograph.org.uk_-_610893.jpg
Ardmore;Kennethmont, Scotland, UK;Highland;1898;Suntory Global Spirits;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ardmore_distillery;;1898;Operational;Springs on Knockandy Hill;4 wash stills (15,000 each)4 spirit stills (15,000 each)[1];5,530,000 litres;www.ardmorewhisky.com;;Traditional, Triple Wood, Legacy (NAS), 12 years (Port Wood), 25 years, 30 years;American white oak ex-bourbon casks (first)quarter-casks (second)Port Wood (finish);;;Single malt;;;;;;;;57.355833;-2.745556;/wiki/File:Ardmore_Distillery_-_geograph.org.uk_-_1275892.jpg
Ardnahoe;Port Askaig;Islay;2019;Hunter Laing & Company,;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ardnahoe_distillery;;2019;;Ardnahoe Loch;1 wash still1 spirit still;900,000 L;;;;;;;;;;;;;;;55.868985;-6.117463;/wiki/File:Ardnahoe_Distillery_-_geograph.org.uk_-_5774822.jpg
